time,precipitation_mm,soil_moisture_m3_m3
2018-01-01,238.79736,0.4185793010752688
2018-02-01,164.54486,0.4186354166666666
2018-03-01,33.98272,0.3237163978494624
2018-04-01,46.81448,0.3058805555555555
2018-05-01,22.412483,0.2874059139784946
2018-06-01,0.06310769,0.2269111111111111
2018-07-01,0.09341736,0.2071787634408602
2018-08-01,0.094270244,0.207880376344086
2018-09-01,2.8055637,0.2072291666666666
2018-10-01,28.72357,0.2320013440860215
2018-11-01,76.72295,0.3197291666666667
2018-12-01,129.56943,0.4068965053763441
2019-01-01,145.52927,0.4289663978494624
2019-02-01,131.72145,0.4251592261904762
2019-03-01,120.902405,0.4289354838709677
2019-04-01,30.37811,0.3848097222222222
2019-05-01,9.840285,0.2538225806451613
2019-06-01,0.91968644,0.2237236111111111
2019-07-01,0.09331366,0.1891572580645161
2019-08-01,0.094176315,0.1942620967741935
2019-09-01,0.6551692,0.2130458333333333
2019-10-01,12.751138,0.2360981182795699
2019-11-01,27.80585,0.2468888888888888
2019-12-01,196.79759,0.3740779569892473
2020-01-01,243.27695,0.4730483870967741
2020-02-01,65.34423,0.4565287356321839
2020-03-01,70.60673,0.4364771505376343
2020-04-01,2.3449667,0.3572444444444445
2020-05-01,0.9858701,0.2874623655913979
2020-06-01,0.006699428,0.2415597222222222
2020-07-01,0.09311546,0.2284529569892473
2020-08-01,0.09523179,0.2361478494623655
2020-09-01,0.6568157,0.22615
2020-10-01,3.1086252,0.2379032258064516
2020-11-01,102.04653,0.3574708333333333
2020-12-01,93.32626,0.3870887096774193
2021-01-01,130.50867,0.3825793010752688
2021-02-01,97.705215,0.4389122023809524
2021-03-01,45.514824,0.3778172043010753
2021-04-01,1.8693376,0.2873125
2021-05-01,4.729725,0.2037137096774193
2021-06-01,0.006699425,0.1906277777777777
2021-07-01,0.09331364,0.1965806451612903
2021-08-01,0.094176434,0.2067822580645161
2021-09-01,0.64988846,0.2205611111111111
2021-10-01,20.785566,0.2532849462365591
2021-11-01,42.496483,0.2994805555555556
2021-12-01,174.31316,0.4094247311827957
2022-01-01,127.17829,0.4434220430107527
2022-02-01,74.06739,0.4558779761904762
2022-03-01,87.04067,0.4418588709677419
2022-04-01,9.628617,0.3016583333333333
2022-05-01,0.8543099,0.224744623655914
2022-06-01,0.006699427,0.1997597222222222
2022-07-01,0.093413815,0.2118346774193548
2022-08-01,0.094266444,0.224263440860215
2022-09-01,0.6615849,0.2366194444444444
2022-10-01,3.7502258,0.2465497311827957
2022-11-01,73.3102,0.3379055555555555
2022-12-01,53.86709,0.3672903225806452
2023-01-01,106.17727,0.3694422043010752
2023-02-01,72.37371,0.4106830357142857
2023-03-01,74.51759,0.3676263440860215
2023-04-01,62.904488,0.3262847222222222
2023-05-01,8.280695,0.2563548387096774
2023-06-01,3.611132,0.2153930555555555
2023-07-01,0.09341387,0.2053870967741935
2023-08-01,0.09426639,0.2130309139784946
2023-09-01,0.6615474,0.2529888888888889
2023-10-01,13.412269,0.2826774193548387
2023-11-01,137.03316,0.3413888888888889
2023-12-01,114.128624,0.423364247311828
2024-01-01,113.441605,0.4610322580645161
2024-02-01,133.87961,0.4742830459770115
2024-03-01,41.545223,0.4085631720430107
2024-04-01,18.430935,0.3326180555555555
2024-05-01,3.6035588,0.2694341397849462
2024-06-01,0.0066994294,0.2469333333333333
2024-07-01,0.093413875,0.2480295698924731
2024-08-01,0.09426637,0.2499919354838709
2024-09-01,0.8761387,0.2304972222222222
2024-10-01,2.5151632,0.1923319892473118
2024-11-01,28.309391,0.2998625
2024-12-01,131.96924,0.2924811827956989
