time,soil_moisture_m3_m3,source,latitude,longitude
2023-04-01,0.3262847222222222,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-05-01,0.25635483870967746,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-06-01,0.21539305555555555,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-07-01,0.20538709677419353,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-08-01,0.21303091397849463,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-09-01,0.25298888888888893,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-10-01,0.2826774193548387,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-11-01,0.3413888888888889,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2023-12-01,0.423364247311828,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-01-01,0.4610322580645161,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-02-01,0.4742830459770115,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-03-01,0.40856317204301074,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-04-01,0.3326180555555555,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-05-01,0.26943413978494624,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-06-01,0.24693333333333334,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-07-01,0.2480295698924731,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-08-01,0.24999193548387097,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-09-01,0.23049722222222221,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-10-01,0.19233198924731182,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-11-01,0.29986250000000003,ERA5-Land_via_Open-Meteo,32.653778,35.560974
2024-12-01,0.2924811827956989,ERA5-Land_via_Open-Meteo,32.653778,35.560974
