time,temperature_2m_c,et0_mm
2018-01-01,13.21518817204301,0
2018-02-01,15.62782738095238,0
2018-03-01,18.486962365591395,0
2018-04-01,20.66847222222222,0
2018-05-01,25.366397849462363,0
2018-06-01,26.694166666666664,0
2018-07-01,28.729973118279567,0
2018-08-01,28.728897849462363,0
2018-09-01,27.98611111111111,0
2018-10-01,24.866801075268818,0
2018-11-01,18.818055555555556,0
2018-12-01,14.688306451612904,0
2019-01-01,12.55470430107527,0
2019-02-01,13.391071428571427,0
2019-03-01,14.979704301075268,0
2019-04-01,18.23986111111111,0
2019-05-01,25.33104838709677,0
2019-06-01,27.664305555555554,0
2019-07-01,28.600134408602152,0
2019-08-01,28.888306451612905,0
2019-09-01,27.264722222222222,0
2019-10-01,25.498924731182797,0
2019-11-01,20.57027777777778,0
2019-12-01,14.54274193548387,0
2020-01-01,11.978763440860217,0
2020-02-01,13.373275862068965,0
2020-03-01,16.149059139784946,0
2020-04-01,19.075694444444444,0
2020-05-01,24.094220430107526,0
2020-06-01,25.40277777777778,0
2020-07-01,28.25967741935484,0
2020-08-01,28.81290322580645,0
2020-09-01,29.795694444444447,0
2020-10-01,26.571236559139784,0
2020-11-01,19.30638888888889,0
2020-12-01,15.298790322580643,0
2021-01-01,13.640994623655914,0
2021-02-01,14.355654761904763,0
2021-03-01,16.01518817204301,0
2021-04-01,20.55236111111111,0
2021-05-01,25.08037634408602,0
2021-06-01,25.854999999999997,0
2021-07-01,29.198521505376345,0
2021-08-01,30.149596774193547,0
2021-09-01,27.281944444444445,0
2021-10-01,24.573252688172044,0
2021-11-01,20.503611111111113,0
2021-12-01,14.50994623655914,0
2022-01-01,11.68736559139785,0
2022-02-01,13.252083333333333,0
2022-03-01,13.223521505376343,0
2022-04-01,21.112083333333334,0
2022-05-01,23.804435483870968,0
2022-06-01,26.55027777777778,0
2022-07-01,28.115591397849464,0
2022-08-01,29.04959677419355,0
2022-09-01,27.78125,0
2022-10-01,25.18911290322581,0
2022-11-01,19.706805555555555,0
2022-12-01,15.976075268817205,0
2023-01-01,14.289516129032258,0
2023-02-01,12.814732142857142,0
2023-03-01,16.804166666666667,0
2023-04-01,19.668055555555554,0
2023-05-01,23.713306451612905,0
2023-06-01,26.29513888888889,0
2023-07-01,29.485887096774192,0
2023-08-01,29.150806451612905,0
2023-09-01,28.400972222222222,0
2023-10-01,25.65967741935484,0
2023-11-01,21.204583333333332,0
2023-12-01,16.339112903225807,0
2024-01-01,14.511559139784946,0
2024-02-01,14.072844827586207,0
2024-03-01,17.030779569892474,0
2024-04-01,21.976666666666667,0
2024-05-01,23.59032258064516,0
2024-06-01,29.445416666666667,0
2024-07-01,30.29193548387097,0
2024-08-01,29.45577956989247,0
2024-09-01,27.87722222222222,0
2024-10-01,24.014247311827955,0
2024-11-01,19.23097222222222,0
2024-12-01,15.031451612903226,0
